ticker,first_date,last_date,n_obs,n_missing
AAPL,2012-05-18,2024-12-30,3174,0
MSFT,2012-05-18,2024-12-30,3174,0
GOOGL,2012-05-18,2024-12-30,3174,0
NVDA,2012-05-18,2024-12-30,3174,0
META,2012-05-18,2024-12-30,3174,0
AMZN,2012-05-18,2024-12-30,3174,0
JPM,2012-05-18,2024-12-30,3174,0
BAC,2012-05-18,2024-12-30,3174,0
JNJ,2012-05-18,2024-12-30,3174,0
PFE,2012-05-18,2024-12-30,3174,0
PG,2012-05-18,2024-12-30,3174,0
KO,2012-05-18,2024-12-30,3174,0
WMT,2012-05-18,2024-12-30,3174,0
XOM,2012-05-18,2024-12-30,3174,0
CVX,2012-05-18,2024-12-30,3174,0
NEM,2012-05-18,2024-12-30,3174,0
FCX,2012-05-18,2024-12-30,3174,0
AEM,2012-05-18,2024-12-30,3174,0
TLT,2012-05-18,2024-12-30,3174,0
IEF,2012-05-18,2024-12-30,3174,0
LQD,2012-05-18,2024-12-30,3174,0
HYG,2012-05-18,2024-12-30,3174,0
SPY,2012-05-18,2024-12-30,3174,0
QQQ,2012-05-18,2024-12-30,3174,0
AGG,2012-05-18,2024-12-30,3174,0
^VIX,2012-05-18,2024-12-30,3174,0
