trial,timestamp,lookback,horizon,stride,epochs,lr,hidden,n_layers,dropout,batch_size,weight_decay,entropy_bonus,early_stop_patience,seed,n_windows,n_holdout_windows,holdout_start,total_return,ann_return,ann_volatility,sharpe,sortino,calmar,max_drawdown,final_nav_eur,nav_growth_eur,median_sharpe,median_return,median_max_dd,sharpe_ci_low,sharpe_ci_high,psr,psr_vs_sharpe_1,holdout_sharpe,holdout_total_return,holdout_ann_return,holdout_max_drawdown,holdout_final_nav_eur,holdout_median_sharpe,holdout_median_return,holdout_sharpe_ci_low,holdout_sharpe_ci_high,holdout_psr,holdout_psr_vs_sharpe_1,won,won_vs_benchmarks,won_vs_all,max_competitor_sharpe,max_competitor_nav,objective,train_time_s,backtest_time_s
1,2026-06-21 21:08:39.927321,60,126,5,30,0.00012551115172973836,64,3,0.35000000000000003,32,8.179499475211674e-06,0.03,6,6119,5,3,2020-01-01,1.0480306201584937,0.15442648861808816,0.13155846947778882,1.1576446168450876,1.6635051996387602,0.911419875775067,-0.16943506798857622,19085.790284539074,18883.654484814615,1.56351613989642,0.20068578397036796,-0.08045393613612162,0.34953056669258187,1.9795729728428495,0.9947515928827018,0.6362599726742146,0.5771888763132006,0.41427395924335353,0.12247802709113698,-0.2951748105419375,34629.84437790315,1.0947903237505097,0.2468069317028787,-0.4430862982388388,1.5861953419661918,0.8399984328994219,0.23316277715218114,True,True,True,1.158733317495979,17948.501076998135,19085.790284539074,12.220863819122314,0.24298667907714844
2,2026-06-21 21:08:47.717833,60,252,10,30,0.000747599299995651,192,1,0.4,32,1.9634341572933354e-06,0.04,6,4952,5,3,2020-01-01,1.3607806629686459,0.18776287431270533,0.16737842416424425,1.112069456549371,1.5662400010661905,0.9391458012648178,-0.19992941890367932,20227.65790073977,20024.709603853116,1.2757993766207576,0.23341666836461794,-0.11483124587962812,0.2755817337223596,1.9291832671765154,0.993120706191967,0.5980338406766211,0.5352870587960324,0.36018867916205477,0.10798288516195576,-0.31551320742122346,35132.29252910486,0.9897468575769698,0.24952942337458128,-0.48730611211336655,1.605696356525438,0.8216924994051238,0.21176952610141586,True,True,True,1.158733317495979,17948.501076998135,20227.65790073977,5.8816773891448975,0.24439263343811035
3,2026-06-21 21:08:57.757456,60,126,5,50,0.0008488762161408717,128,3,0.25,32,1.3667272915456224e-06,0.01,6,8288,5,3,2020-01-01,1.1565657276491725,0.16642995628705393,0.15290715734075122,1.0835613525516716,1.5324188336759361,0.9449848946757159,-0.1761191710309471,19499.707050859324,19297.563736310873,1.3918998781653886,0.2069465858229902,-0.10949802527751973,0.2673270335306711,1.959668356727302,0.9917940692900493,0.5734061433553308,0.5205252885694112,0.3846772166114407,0.11459266871261264,-0.33313234819974,34459.57978691664,1.0505430470125328,0.25086173527920574,-0.48174066192360926,1.5593883738779866,0.8153904561770693,0.20408384303457888,True,True,True,1.158733317495979,17948.501076998135,19499.707050859324,8.158426523208618,0.23794841766357422
4,2026-06-21 21:09:05.537396,60,252,10,20,0.0047499747713783975,256,3,0.30000000000000004,32,2.2264204303769692e-06,0.05,6,635,5,3,2020-01-01,1.3350688564872608,0.18516016217375064,0.158562155968914,1.1509999014111219,1.6079694087277905,0.8700362667097635,-0.21281890107176238,20726.93149540607,20523.573328128892,1.2507540405119746,0.1684022097202751,-0.06806844683348778,0.3416112016973652,1.9969114915582942,0.9945614144312049,0.630844786136451,0.5420910806384148,0.38724604992724565,0.11528150169556839,-0.3304154135719617,36244.16825082688,0.9945249331696461,0.26785838755857827,-0.4468904374785018,1.6149945443042812,0.826166867541398,0.21380521843686479,True,True,True,1.158733317495979,17948.501076998135,20726.93149540607,5.744798898696899,0.27973008155822754
5,2026-06-21 21:09:17.802089,60,252,10,50,0.00015965665886173757,256,2,0.2,32,1.2424747083660194e-06,0.03,10,9076,5,3,2020-01-01,1.394009726305712,0.19109316060381087,0.16844176747902065,1.122735881604005,1.5926613660978333,0.957480932106622,-0.19957907692571297,21025.449371199848,20821.882252082876,1.2936747910624133,0.20101877033549287,-0.11447939018207698,0.3080897117847309,1.9599670174332842,0.9935747354222655,0.6071782362858582,0.5165392848067878,0.3706316076913341,0.11081119386936811,-0.33016461726525037,36269.58276916896,1.0497680876498383,0.25144301060626395,-0.46494191285952335,1.5360636073943523,0.8134822633348031,0.20220925820532082,True,True,True,1.158733317495979,17948.501076998135,21025.449371199848,10.401896953582764,0.2444932460784912
6,2026-06-21 21:09:33.069012,60,252,5,40,0.00018789279685460533,64,3,0.05,32,0.00048783606034521424,0.01,10,4271,5,3,2020-01-01,1.177917406791845,0.16873423714126634,0.1490396491731908,1.121011620277367,1.6096071853471936,0.8908904465574711,-0.1893995359286652,20643.1918057099,20441.08238548685,1.2888910470569224,0.18145967945801833,-0.07572562951999473,0.31350928693561203,1.9546157476866113,0.9934472319975189,0.6055766008028477,0.4820857048531716,0.33611050239350604,0.1014060538719106,-0.3608019428528012,35009.65157994333,0.9867514752962956,0.22228566668346494,-0.49232650611676093,1.554125715843635,0.7970153045929185,0.1859907272749367,True,True,True,1.158733317495979,17948.501076998135,20643.1918057099,13.395825386047363,0.2376720905303955
7,2026-06-21 21:09:44.634345,60,126,5,30,0.00015982608583855863,128,3,0.15000000000000002,32,3.10274095091284e-05,0.01,6,6096,5,3,2020-01-01,1.0215670125931489,0.15142280441621048,0.14551483882575975,1.0420098090644152,1.431962946971475,0.7987981412538409,-0.1895632908941529,18866.000007261413,18663.794545720702,1.4863203445114224,0.19667495319950157,-0.09571913157961309,0.2512949051056621,1.827014069434613,0.9893808437745811,0.5369994115208917,0.4910318580968072,0.34139440895703976,0.10285605164129796,-0.3283575810279017,32751.573994903803,0.9901175698752536,0.22843305245704681,-0.4574897374920208,1.5421507538879302,0.8013386247207167,0.19015374325263668,True,True,True,1.158733317495979,17948.501076998135,18866.000007261413,9.64390778541565,0.24585199356079102
8,2026-06-21 21:09:53.505244,60,63,5,30,0.0006785245383889538,64,1,0.30000000000000004,128,4.0487788181534125e-05,0.0,6,1865,5,3,2020-01-01,1.3650787907328006,0.1881957442311779,0.15633444168352417,1.1815503605737296,1.6079804312940476,1.0513129184910137,-0.17901020801808643,20432.615388326987,20230.067774325526,1.4292350287088227,0.2459858763795224,-0.13036784511903687,0.35506607330962037,2.034531321758903,0.995467157202738,0.6557793946473163,0.5255390831466644,0.35265047753029566,0.10593226880973483,-0.2983529892531189,35265.04590618607,1.0709465321117524,0.17729916815301228,-0.501988207819602,1.5645455548592377,0.8173425900260215,0.2068791007680455,True,True,True,1.158733317495979,17948.501076998135,20432.615388326987,6.794424772262573,0.24064850807189941
9,2026-06-21 21:10:00.351430,60,252,10,30,0.0012477547117579705,256,1,0.15000000000000002,64,5.940525755701932e-06,0.03,6,5297,5,3,2020-01-01,1.5356821790672495,0.2048901435378343,0.1703173056722939,1.1799043900485493,1.674242114969596,1.049010286983334,-0.19531757322136678,21385.546167438268,21181.96924537175,1.2717428857392927,0.23258816521891146,-0.1142629815169044,0.33814168995348737,1.995363845183619,0.9955138051999056,0.6548432645585566,0.5188603556716628,0.3614258929744567,0.10831872001948795,-0.3127998177361193,36649.462479599366,1.076612025994539,0.19484521198527638,-0.5065551136015913,1.5814546231918247,0.814467249729699,0.20342451135010692,True,True,True,1.158733317495979,17948.501076998135,21385.546167438268,4.977014541625977,0.24930548667907715
10,2026-06-21 21:10:12.047505,60,252,5,40,0.0003920095005479954,128,2,0.0,64,1.0655924993232579e-06,0.0,6,1608,5,3,2020-01-01,1.339365787997023,0.18559671456893123,0.16951286271305327,1.0894232055407316,1.5531031438965972,0.9217408530922947,-0.20135454986755075,20373.35652960167,20170.2535041354,1.2484950513275865,0.21708350200736914,-0.11710367058120674,0.24699976167099744,1.932240381561426,0.9920828538678853,0.5784942430415675,0.5985344037553704,0.472205904719156,0.1375998298329062,-0.34539921366569337,37764.988421928516,1.0775638023417464,0.2892842003889662,-0.3939636209238449,1.644806435993559,0.8486361277880121,0.2446968077584959,True,True,True,1.158733317495979,17948.501076998135,20373.35652960167,9.791968584060669,0.2672581672668457
