trial,timestamp,lookback,horizon,stride,epochs,lr,hidden,n_layers,dropout,batch_size,weight_decay,entropy_bonus,early_stop_patience,seed,n_windows,n_holdout_windows,holdout_start,total_return,ann_return,ann_volatility,sharpe,sortino,calmar,max_drawdown,final_nav_eur,nav_growth_eur,median_sharpe,median_return,median_max_dd,sharpe_ci_low,sharpe_ci_high,psr,psr_vs_sharpe_1,holdout_sharpe,holdout_total_return,holdout_ann_return,holdout_max_drawdown,holdout_final_nav_eur,holdout_median_sharpe,holdout_median_return,holdout_sharpe_ci_low,holdout_sharpe_ci_high,holdout_psr,holdout_psr_vs_sharpe_1,won,won_vs_benchmarks,won_vs_all,max_competitor_sharpe,max_competitor_nav,objective,train_time_s,backtest_time_s
1,2026-06-20 01:00:16.338672,60,126,5,30,0.00012551115172973836,64,3,0.35000000000000003,32,8.179499475211674e-06,0.03,6,6119,5,3,2020-01-01,0.9591707956929432,0.14421418755710835,0.12905945968111912,1.108672912572225,1.4920040673888564,0.8921567262970921,-0.1616466964898322,19110.89251213896,18910.249344768,1.568533025542466,0.21762135996088072,-0.07594377771331196,0.3539145269786005,1.996857656379451,0.9927701871422843,0.5947275561818621,0.6333381986259266,0.5065079510561383,0.14636735283181057,-0.3243289911766972,36875.225659109725,0.9009262780438407,0.30620769650864865,-0.33462365440221625,1.6334249015976288,0.8621358591028835,0.2640138819921964,True,True,True,0.8911724610529926,17286.233815112602,19110.89251213896,14.834296941757202,0.29427623748779297
2,2026-06-20 01:00:25.674364,60,252,10,30,0.000747599299995651,192,1,0.4,32,1.9634341572933354e-06,0.04,6,4952,5,3,2020-01-01,0.9808072798691241,0.14673437192953842,0.15912947964664614,0.9402384700218955,1.266100455110684,0.6589611875530024,-0.22267528756044697,19643.12816487101,19442.81828769406,1.0448300928110275,0.13774341687470892,-0.1332728575983927,0.11635278979608513,1.8842492545991933,0.9813665706431411,0.44734007935441444,0.5383429275948114,0.3532036192567001,0.106082998538094,-0.2817987811232229,34178.11553051884,0.9648909669474984,0.2647581119762443,-0.46842653057327316,1.5356878215470222,0.8230907300264434,0.21326919780082676,True,True,True,0.8911724610529926,17286.233815112602,19643.12816487101,7.432029485702515,0.3115806579589844
3,2026-06-20 01:00:37.326898,60,126,5,50,0.0008488762161408717,128,3,0.25,32,1.3667272915456224e-06,0.01,6,8288,5,3,2020-01-01,1.0628323271134144,0.15609300713034346,0.16473483588277268,0.9631030801623734,1.264101785838375,0.6882092042155963,-0.2268104032526772,20187.68228282064,19987.48152556717,1.4239098305893167,0.18574800703719663,-0.08922733849783404,0.19342502149157642,1.841042030662085,0.9836246286944874,0.46740381501827083,0.48587630529968506,0.34966287349437586,0.10511744306883619,-0.33134037253250437,34798.3269219343,0.7766714055269699,0.2548243673058048,-0.427198325432812,1.4761387385828257,0.8000011666186495,0.1865839818038939,True,True,True,0.8911724610529926,17286.233815112602,20187.68228282064,9.780890941619873,0.3119924068450928
4,2026-06-20 01:00:46.108941,60,252,10,20,0.0047499747713783975,256,3,0.30000000000000004,32,2.2264204303769692e-06,0.05,6,635,5,3,2020-01-01,1.521992776631961,0.20358428379650517,0.16941587902443078,1.1788789390928769,1.5555435497346537,0.9164670814305331,-0.22214031242532584,22053.16674478751,21853.338070877588,0.8940204333592111,0.13675084832972906,-0.12317302666630225,0.3707877803081272,2.094202202655414,0.9954475957024495,0.6538526557312787,0.37500189281011814,0.21540948182344066,0.06718785303956287,-0.33060031785965727,34038.05749342194,0.7818636939580901,0.23499926719988107,-0.6072182329345841,1.3486795815058834,0.7413450977451189,0.14025946986399512,True,True,True,0.8911724610529926,17286.233815112602,22053.16674478751,6.804075241088867,0.3718414306640625
5,2026-06-20 01:01:00.711286,60,252,10,50,0.00015965665886173757,256,2,0.2,32,1.2424747083660194e-06,0.03,10,9076,5,3,2020-01-01,1.1072036627429798,0.16103210709260019,0.1611521707457001,1.0073587538035302,1.3502833457779782,0.7202049651952657,-0.22359205347736022,19867.775619354015,19667.52781802667,0.9656859905725895,0.12656682371358374,-0.13883135311355121,0.16217985271201404,1.9496447572289546,0.9872065634313654,0.5065056072833279,0.5435340948670855,0.40155274348154735,0.1191023695037996,-0.3127357809910911,35257.82366870507,0.968587000799878,0.334475538421682,-0.40260468018160134,1.573685189219744,0.8256447021170125,0.21564643465678102,True,True,True,0.8911724610529926,17286.233815112602,19867.775619354015,12.32388162612915,0.35460901260375977
6,2026-06-20 01:01:17.881076,60,252,5,40,0.00018789279685460533,64,3,0.05,32,0.00048783606034521424,0.01,10,4271,5,3,2020-01-01,1.1372643244084712,0.1643311879207927,0.15500479539793663,1.0594009372740698,1.396014554907929,0.7103115165591396,-0.23135087083599426,20752.883604045033,20552.409768612248,1.0389333427858116,0.14063200715657254,-0.1001941949761016,0.23259636198420938,1.9720066631165467,0.9903256981045663,0.5521654212899408,0.6040503690662686,0.4773096219344759,0.13891289151703767,-0.3295724491524955,38302.013081544355,0.9920773900518268,0.3379201957081661,-0.3448203085614272,1.6033460191440838,0.8513792377498033,0.24722054819731593,True,True,True,0.8911724610529926,17286.233815112602,20752.883604045033,15.126746654510498,0.3125748634338379
7,2026-06-20 01:01:32.173652,60,126,5,30,0.00015982608583855863,128,3,0.15000000000000002,32,3.10274095091284e-05,0.01,6,6096,5,3,2020-01-01,0.9718760302152456,0.1456967548419017,0.14130101577189214,1.0335071164010332,1.3598893843743227,0.6766886135293417,-0.2153084179767777,19346.54479398252,19146.022014905342,1.4454619811358154,0.18219447321152016,-0.07043757115612093,0.28160709681397,1.9179419914853344,0.9887936334196853,0.5295052992905989,0.5361869064511136,0.39383466803218714,0.11704436159905618,-0.3155676322072606,34504.20423844996,0.9225766883454113,0.31631781699744055,-0.43167134109396804,1.5690720119616635,0.8223727679092665,0.21195246890003605,True,True,True,0.8911724610529926,17286.233815112602,19346.54479398252,12.050108909606934,0.3740978240966797
8,2026-06-20 01:01:42.935526,60,63,5,30,0.0006785245383889538,64,1,0.30000000000000004,128,4.0487788181534125e-05,0.0,6,1865,5,3,2020-01-01,0.991933641479873,0.1480217925518179,0.1508142856266616,0.9910057217608762,1.2900376920257284,0.7114641005331875,-0.20805237037383473,18405.180231933387,18204.51755574249,1.5226473626238375,0.26657052179797924,-0.11411136723767601,0.19312444144644253,1.836295849177738,0.9856964822991313,0.4920751766166188,0.6226212741373967,0.46388392603540796,0.13545226428458879,-0.3138301399169213,34930.950191449774,0.9344709182612869,0.30301953215366906,-0.3617670682127145,1.6019253912762947,0.8579892804578497,0.25805727010840374,True,True,True,0.8911724610529926,17286.233815112602,18405.180231933387,8.790754079818726,0.32808637619018555
9,2026-06-20 01:01:52.221629,60,252,10,30,0.0012477547117579705,256,1,0.15000000000000002,64,5.940525755701932e-06,0.03,6,5297,5,3,2020-01-01,1.1276171035815854,0.163276495922412,0.16648745877790427,0.9919251834565714,1.3354763820905131,0.7096565445045603,-0.23007819372172755,19936.163714249105,19735.98008591218,0.9524568837335597,0.13097148091936073,-0.1342658985010503,0.11568710874919422,1.9336588570297923,0.9860933291329192,0.4928559358586881,0.5344766358898578,0.37188852102933456,0.11115064001236385,-0.3065973914024993,34942.59194845715,0.9649555059931851,0.2744359685099844,-0.4415085313013981,1.51707747547366,0.8215203899642223,0.2111801212811525,True,True,True,0.8911724610529926,17286.233815112602,19936.163714249105,7.1366941928863525,0.33194923400878906
10,2026-06-20 01:02:06.170213,60,252,5,40,0.0003920095005479954,128,2,0.0,64,1.0655924993232579e-06,0.0,6,1608,5,3,2020-01-01,1.1712948017632034,0.1680214632409156,0.16004702233107113,1.050751251954248,1.3926699159207092,0.72665534620443,-0.23122579929886888,20463.99719510981,20263.82047093413,0.9653906511226953,0.12651942283905382,-0.10709537424337812,0.20608864891105175,1.9827294238386954,0.9899314303578538,0.5446829014104155,0.5555186154306382,0.426095615193562,0.1255968823241993,-0.3297220401494366,36784.87573132927,0.9154908724531859,0.3161326036826013,-0.3969278398106681,1.5888422111718952,0.8308376155013738,0.22180869044793572,True,True,True,0.8911724610529926,17286.233815112602,20463.99719510981,12.020857572555542,0.3205447196960449
