trial,timestamp,lookback,horizon,stride,epochs,lr,hidden,n_layers,dropout,batch_size,weight_decay,entropy_bonus,early_stop_patience,seed,n_windows,n_holdout_windows,holdout_start,total_return,ann_return,ann_volatility,sharpe,sortino,calmar,max_drawdown,final_nav_eur,nav_growth_eur,median_sharpe,median_return,median_max_dd,sharpe_ci_low,sharpe_ci_high,psr,psr_vs_sharpe_1,holdout_sharpe,holdout_total_return,holdout_ann_return,holdout_max_drawdown,holdout_final_nav_eur,holdout_median_sharpe,holdout_median_return,holdout_sharpe_ci_low,holdout_sharpe_ci_high,holdout_psr,holdout_psr_vs_sharpe_1,won,won_vs_benchmarks,won_vs_all,max_competitor_sharpe,max_competitor_nav,objective,train_time_s,backtest_time_s
1,2026-06-21 21:57:06.222285,60,126,5,30,0.00012551115172973836,64,3,0.35000000000000003,32,8.179499475211674e-06,0.03,6,6119,5,3,2020-01-01,0.809070620167706,0.12608964773561193,0.11435760876431689,1.0958383684151516,1.5438120262384487,0.7381108701870481,-0.17082751769210358,17771.59877945483,17569.621131427764,1.4992173916409348,0.20181732767325067,-0.08629255746646392,0.33061917996966866,1.9298184591981187,0.9922885021157957,0.5838862104857423,0.49960534242772825,0.27593645055292204,0.08461685256111884,-0.2925103122092445,30122.334427846217,1.1013066561257971,0.15211632653071505,-0.5265532210840216,1.6347098510609552,0.8055808516253424,0.19404469273780656,True,True,True,1.1117728365727093,17447.687450123794,17771.59877945483,13.336511611938477,0.2478475570678711
2,2026-06-21 21:57:15.308540,60,252,10,30,0.000747599299995651,192,1,0.4,32,1.9634341572933354e-06,0.04,6,4952,5,3,2020-01-01,1.3875115725895628,0.19044482248783767,0.15460846263720993,1.2051700655164985,1.7637541007423625,0.9738024280328982,-0.195568235409456,21579.860943145308,21376.98697788609,1.392188607532285,0.21227512665656234,-0.11082133822473073,0.42390348269593486,2.0340139476896484,0.9962798505565095,0.6756776909407506,0.5594405089414393,0.3797361162441064,0.11326531290070974,-0.29663684114348177,37345.55407729264,1.17682900075495,0.18786547702262224,-0.418272603419907,1.6428212362012238,0.832705616137384,0.22366658159784986,True,True,True,1.1117728365727093,17447.687450123794,21579.860943145308,6.754390239715576,0.2655513286590576
3,2026-06-21 21:57:27.525760,60,126,5,50,0.0008488762161408717,128,3,0.25,32,1.3667272915456224e-06,0.01,6,8288,5,3,2020-01-01,1.1817185035607247,0.16914255683813884,0.15733294282187127,1.0721527064485035,1.556717707185083,0.6716450918943708,-0.2518332358553731,21275.221947825437,21071.60697113493,1.4067586854669911,0.199850741365045,-0.10046684556149799,0.3049045567658236,1.912673746277823,0.9914575719343057,0.5637544732009047,0.49686455679563807,0.332104931944188,0.10030430477449115,-0.3324688511919607,35841.6394782055,1.0696680934464697,0.17186018278928894,-0.4638390148810751,1.5489960960973277,0.8045282582889259,0.19249599511288767,True,True,True,1.1117728365727093,17447.687450123794,21275.221947825437,10.074855327606201,0.27524757385253906
4,2026-06-21 21:57:35.618219,60,252,10,20,0.0047499747713783975,256,3,0.30000000000000004,32,2.2264204303769692e-06,0.05,6,635,5,3,2020-01-01,1.0989142527428881,0.16011574857281086,0.14660526328142146,1.0866359564593184,1.5996826735370198,0.8938535910784803,-0.17912972568541452,19752.820438061004,19549.22602180548,1.1987393179407473,0.15347535140396307,-0.12940797957553907,0.24805038852979464,1.9396945078039316,0.9920123421114907,0.5761697744746546,0.5023410974977212,0.3500304032707051,0.10521774631553216,-0.3690365526259145,34013.67352839726,1.1289559566822376,0.17162134566904652,-0.4668071903879889,1.6100482340830704,0.8080471659822903,0.19417685764770726,True,True,True,1.1117728365727093,17447.687450123794,19752.820438061004,6.0491650104522705,0.2786824703216553
5,2026-06-21 21:57:49.170084,60,252,10,50,0.00015965665886173757,256,2,0.2,32,1.2424747083660194e-06,0.03,10,9076,5,3,2020-01-01,1.3695232263564403,0.18864268793578698,0.15405417636296637,1.1991373294958312,1.7479726834069556,1.0248827955216409,-0.1840626935685581,21082.93067699556,20879.383540445106,1.30781775578136,0.22501532110055877,-0.12439199404493972,0.3935433111170765,2.006146952599743,0.996069970733469,0.6705420021140048,0.5758953582379982,0.4156169433964738,0.12283321364780408,-0.32805023069751793,37452.54014587369,1.2125274251613871,0.1951906114166484,-0.3968639350754681,1.6435095147520344,0.8400122603342717,0.23196762520866498,True,True,True,1.1117728365727093,17447.687450123794,21082.93067699556,11.561787843704224,0.27390241622924805
6,2026-06-21 21:58:06.773049,60,252,5,40,0.00018789279685460533,64,3,0.05,32,0.00048783606034521424,0.01,10,4271,5,3,2020-01-01,1.19648556286944,0.17072347902008334,0.15383796347366216,1.101816316522942,1.600324606318223,1.008471035815747,-0.16928942226088428,20678.45497020319,20476.623511784546,1.3990328840498978,0.2592735683669991,-0.11222544772240917,0.2942274706982138,1.940914611684775,0.9927042518698344,0.5892799337770976,0.5483384259189293,0.39522390595188006,0.11741535851660223,-0.35929159582803405,36403.439737111024,1.2041134350601332,0.18782045806945047,-0.43518650445863444,1.610134411012789,0.8280410426327727,0.2178177298955149,True,True,True,1.1117728365727093,17447.687450123794,20678.45497020319,15.60397219657898,0.26820993423461914
7,2026-06-21 21:58:20.103692,60,126,5,30,0.00015982608583855863,128,3,0.15000000000000002,32,3.10274095091284e-05,0.01,6,6096,5,3,2020-01-01,0.9104616686251721,0.13845811690061494,0.12610957180077256,1.0915996428427588,1.5166625202277366,0.8357787397765044,-0.1656636024716781,18624.708844228015,18422.817473312985,1.35668367257824,0.19605070609060982,-0.11800972011966648,0.28283840352902473,1.8846426141924317,0.9920446490130027,0.5801632823376842,0.5094032155007937,0.3369117622746278,0.10162617940991758,-0.3200129195759083,32443.256586765034,1.0641350740325308,0.17990278777394586,-0.46609914827961585,1.591807868914748,0.8103652776860555,0.19855810479242536,True,True,True,1.1117728365727093,17447.687450123794,18624.708844228015,11.364007949829102,0.2619757652282715
8,2026-06-21 21:58:30.137745,60,63,5,30,0.0006785245383889538,64,1,0.30000000000000004,128,4.0487788181534125e-05,0.0,6,1865,5,3,2020-01-01,0.8520217079832073,0.13139516031385545,0.1398290256625073,0.9529856418410418,1.3502129657069435,0.6111520372464604,-0.21499586405022075,18903.1690215078,18701.611356773956,1.437359792337325,0.21827879251968296,-0.1189098363106399,0.12738641893704342,1.7699423351481336,0.9827984263838485,0.4584432586431738,0.628771450665641,0.41544382336725905,0.12278744023803956,-0.2837339212060639,34486.671380569765,1.168464221984671,0.16619610706484944,-0.33233084816870606,1.6773219672996769,0.8608665121541086,0.261044977884942,True,True,True,1.1117728365727093,17447.687450123794,18903.1690215078,8.082059383392334,0.262570858001709
9,2026-06-21 21:58:37.664911,60,252,10,30,0.0012477547117579705,256,1,0.15000000000000002,64,5.940525755701932e-06,0.03,6,5297,5,3,2020-01-01,1.420377495653271,0.19370958930775295,0.15760599011636459,1.2026058910277901,1.765463174174164,0.9683121359053785,-0.20004870549994003,21832.13820054718,21628.51032093688,1.333908820472056,0.22518203089422784,-0.12037952926919238,0.40752133404486474,2.0245047234011535,0.9962151306828609,0.6736217549903828,0.6215294209755132,0.4613743358605711,0.1348030439254242,-0.3029825551801675,39701.14308157904,1.2660832969384213,0.19868816359838704,-0.3682754829538901,1.7094760286790258,0.8579190434772626,0.25714291457151306,True,True,True,1.1117728365727093,17447.687450123794,21832.13820054718,5.489777326583862,0.2739555835723877
10,2026-06-21 21:58:50.856790,60,252,5,40,0.0003920095005479954,128,2,0.0,64,1.0655924993232579e-06,0.0,6,1608,5,3,2020-01-01,1.2881350232253288,0.18034953241611484,0.16439414342373432,1.0911052546942468,1.6030077491833254,0.8352056760232118,-0.21593427534501408,20733.01086403521,20529.42326584811,1.3946956655921312,0.2556272027176987,-0.11753916847904233,0.2846929758385743,1.898578765231449,0.9922882638395897,0.5801416406600194,0.6542569810075942,0.5277022649202834,0.15171822920542088,-0.3205366198758225,39515.14528526208,1.2236948074174054,0.23823831475798118,-0.30501804361658935,1.6884777934079682,0.8709075224792924,0.2750816257749952,True,True,True,1.1117728365727093,17447.687450123794,20733.01086403521,11.244869947433472,0.27526164054870605
